,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,monday,tuesday,wednesday,thursday,friday,saturday,sunday,category_analized
1,"ZfWVso8VlT0VN14rxVHccQ","Candida's Pizza","35 E Butler Ave","Ambler","PA","19002",40.154294,-75.2229125,2.5,22,false,"""BusinessAcceptsCreditCards"":""True"",""GoodForKids"":""True"",""RestaurantsPriceRange2"":""1"",""RestaurantsReservations"":""False"",""Alcohol"":""u'none'"",""HasTV"":""True"",""RestaurantsDelivery"":""True"",""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""OutdoorSeating"":""False"",""Caters"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""WiFi"":""u'free'"",""RestaurantsAttire"":""u'casual'"",""NoiseLevel"":""u'average'"",""BikeParking"":""False""}","Restaurants, Pizza, Fast Food","11:0-22:0  ","11:0-22:0  ","11:0-22:0  ","11:0-22:0  ","11:0-23:0  ","11:0-23:0  ","12:0-22:0  ","Restaurants"
2,"KIph7iH97vnDrgcdaqEMFQ","Golden House","172 E Butler Ave","Ambler","PA","19002",40.155461,-75.2193272,3,16,true,"""NoiseLevel"":""u'average'"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsCreditCards"":""True"",""Caters"":""False"",""OutdoorSeating"":""False"",""RestaurantsDelivery"":""True"",""BikeParking"":""False"",""Alcohol"":""u'none'"",""HasTV"":""True"",""RestaurantsReservations"":""False"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""1"",""GoodForKids"":""True"",""RestaurantsTakeOut"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""Ambience"":""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}""}","Restaurants, Chinese","11:0-22:0  ","11:0-22:0  ","11:0-22:0  ","11:0-22:0  ","11:0-23:0  ","11:0-23:0  ","12:0-22:0  ","Restaurants"
3,"zhdJZc19FDnARtn_r9WDjA","Wawa","1139 Horsham Rd","Ambler","PA","19002",40.211003,-75.185167,3,10,true,"""BusinessParking"":""None"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsTakeOut"":""True"",""BikeParking"":""False"",""RestaurantsPriceRange2"":""1"",""Caters"":""False"",""RestaurantsDelivery"":""True""}","Food, Sandwiches, Gas Stations, Convenience Stores, Restaurants, Automotive, Coffee & Tea","0:0-0:0    ","0:0-0:0    ","0:0-0:0    ","0:0-0:0    ","0:0-0:0    ","0:0-0:0    ","0:0-0:0    ","Restaurants"
4,"zZNFMQrCQ9GHXXT9D9BgEQ","SweetBriar Cafe","11 Lindenwold Ave","Ambler","PA","19002",40.1560707092,-75.2197113037,3.5,100,true,"""RestaurantsDelivery"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""WiFi"":""u'free'"",""RestaurantsTakeOut"":""True"",""RestaurantsReservations"":""False"",""RestaurantsPriceRange2"":""1"",""OutdoorSeating"":""True"",""BusinessAcceptsCreditCards"":""True"",""BikeParking"":""True"",""NoiseLevel"":""u'average'"",""RestaurantsGoodForGroups"":""False"",""Caters"":""True"",""GoodForKids"":""True"",""Alcohol"":""u'none'"",""RestaurantsAttire"":""u'casual'"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}"",""HasTV"":""True""}","Hot Dogs, American (Traditional), Cafes, Burgers, Breakfast & Brunch, Restaurants, Food, Ice Cream & Frozen Yogurt","8:0-14:0   ","8:0-21:0   ","8:0-21:0   ","8:0-21:0   ","8:0-21:0   ","8:0-21:0   ","8:0-14:0   ","Restaurants"
5,"qD6EoM0lbEA-0tfPTO9qpw","Old School Burgers Ambler","242 E Butler Ave","Ambler","PA","19002",40.156424,-75.217911,4,28,true,"""BusinessAcceptsCreditCards"":""True"",""DogsAllowed"":""True"",""WheelchairAccessible"":""True"",""RestaurantsTakeOut"":""True"",""RestaurantsTableService"":""True"",""RestaurantsReservations"":""True"",""WiFi"":""u'free'"",""HasTV"":""True"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsDelivery"":""True"",""Ambience"":""{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': False, u'romantic': None, u'classy': False, u'upscale': False}"",""OutdoorSeating"":""True""}","Cheesesteaks, Hot Dogs, Restaurants, Burgers","11:0-20:0  ","11:0-20:0  ","11:0-20:0  ","11:0-20:0  ","11:0-21:0  ","11:0-21:0  ","12:0-20:0  ","Restaurants"
6,"-gJ3m24voBGR-8fS_hQN9A","Vida & Comida","131 East Butler Ave","Ambler","PA","19002",40.1551055897,-75.2208378303,4,62,false,"""BusinessAcceptsCreditCards"":""True"",""RestaurantsTakeOut"":""True"",""BikeParking"":""True"",""WiFi"":""u'free'"",""NoiseLevel"":""u'loud'"",""RestaurantsPriceRange2"":""3"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Caters"":""True"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""False"",""Alcohol"":""u'none'"",""DogsAllowed"":""False"",""BusinessAcceptsBitcoin"":""False"",""HasTV"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"",""WheelchairAccessible"":""True"",""RestaurantsDelivery"":""True"",""RestaurantsAttire"":""'casual'"",""RestaurantsReservations"":""True"",""OutdoorSeating"":""False"",""RestaurantsTableService"":""True""}","Spanish, Restaurants, Tapas Bars","           ","           ","17:0-20:0  ","17:0-20:0  ","17:0-22:0  ","17:0-22:0  ","           ","Restaurants"
7,"Ko6WrkU-vUngOIJG_isrzA","Fireside Bar & Grille","1211 S Bethlehem Pike","Ambler","PA","19002",40.1582977,-75.2136062,3.5,133,true,"""OutdoorSeating"":""True"",""GoodForKids"":""True"",""RestaurantsGoodForGroups"":""True"",""Alcohol"":""u'full_bar'"",""RestaurantsDelivery"":""False"",""NoiseLevel"":""u'loud'"",""RestaurantsReservations"":""True"",""RestaurantsAttire"":""u'casual'"",""BikeParking"":""False"",""RestaurantsPriceRange2"":""2"",""RestaurantsTakeOut"":""True"",""HasTV"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}"",""WiFi"":""u'free'"",""BusinessAcceptsCreditCards"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""Caters"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""HappyHour"":""True""}","Diners, Pizza, Food, Restaurants, Steakhouses, Desserts, American (Traditional)","11:30-22:0 ","11:30-23:0 ","11:30-23:0 ","11:30-23:0 ","11:30-0:0  ","11:30-0:0  ","12:0-22:0  ","Restaurants"
8,"QHOim2XPDxt_752IDXvmrA","Dettera Wine Restaurant & Bar","129 E Butler Ave","Ambler","PA","19002",40.155152,-75.2210822,4,189,true,"""BusinessAcceptsCreditCards"":""True"",""Alcohol"":""u'full_bar'"",""RestaurantsReservations"":""True"",""GoodForKids"":""False"",""WiFi"":""u'free'"",""RestaurantsGoodForGroups"":""True"",""HasTV"":""True"",""RestaurantsAttire"":""u'casual'"",""OutdoorSeating"":""True"",""RestaurantsDelivery"":""False"",""RestaurantsTakeOut"":""True"",""Caters"":""True"",""RestaurantsPriceRange2"":""3"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}"",""HappyHour"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"",""RestaurantsTableService"":""True"",""BikeParking"":""True"",""WheelchairAccessible"":""True"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"",""Corkage"":""True"",""NoiseLevel"":""u'average'""}","Restaurants, American (New)","           ","16:0-22:0  ","16:0-22:0  ","16:0-22:0  ","16:0-23:0  ","16:0-23:0  ","           ","Restaurants"
9,"V5tCeElfEgLsWN78eJgKhA","Bridgets Steakhouse","8 W Butler Ave","Ambler","PA","19002",40.153803,-75.223898,4,215,true,"""Alcohol"":""u'full_bar'"",""HasTV"":""True"",""RestaurantsPriceRange2"":""3"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}"",""RestaurantsDelivery"":""False"",""RestaurantsGoodForGroups"":""True"",""Caters"":""True"",""GoodForKids"":""False"",""RestaurantsReservations"":""True"",""BikeParking"":""False"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsBitcoin"":""False"",""OutdoorSeating"":""False"",""DogsAllowed"":""False"",""RestaurantsTakeOut"":""True"",""RestaurantsTableService"":""True"",""WheelchairAccessible"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}"",""BYOB"":""False"",""WiFi"":""u'free'"",""GoodForMeal"":""{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': None}"",""HappyHour"":""True""}","Restaurants, Steakhouses, Food, Desserts","17:0-21:0  ","17:0-22:0  ","17:0-22:0  ","17:0-22:0  ","17:0-23:0  ","17:0-23:0  ","17:0-21:0  ","Restaurants"
10,"0CPhgQAtXvxsmyFNJah16w","Gypsy Blu","34 E Butler Ave","Ambler","PA","19002",40.1539429,-75.2227004,3.5,176,true,"""HappyHour"":""True"",""RestaurantsTakeOut"":""True"",""BikeParking"":""False"",""HasTV"":""True"",""NoiseLevel"":""u'average'"",""Smoking"":""u'no'"",""RestaurantsPriceRange2"":""2"",""BestNights"":""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"",""GoodForDancing"":""False"",""RestaurantsAttire"":""'casual'"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"",""RestaurantsDelivery"":""False"",""GoodForKids"":""True"",""WiFi"":""u'free'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""OutdoorSeating"":""True"",""Music"":""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"",""RestaurantsGoodForGroups"":""True"",""ByAppointmentOnly"":""False"",""BusinessAcceptsCreditCards"":""True"",""Caters"":""True"",""RestaurantsReservations"":""False"",""Alcohol"":""u'full_bar'"",""CoatCheck"":""True"",""Corkage"":""False"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"",""WheelchairAccessible"":""True"",""RestaurantsTableService"":""True"",""DogsAllowed"":""True"",""BYOB"":""False""}","American (Traditional), Italian, Bars, Restaurants, Breakfast & Brunch, Nightlife, American (New), Cocktail Bars","0:0-0:0    ","10:0-22:0  ","11:0-23:0  ","11:0-23:0  ","11:0-0:0   ","10:0-15:0  ","10:0-21:0  ","Restaurants"
11,"rWS8yiQtgtIelNX8wL0KBQ","Toto's Gelateria Caffe","35 N Main St","Ambler","PA","19002",40.1546985,-75.2245102,4.5,42,false,"""OutdoorSeating"":""True"",""BikeParking"":""True"",""RestaurantsPriceRange2"":""2"",""RestaurantsReservations"":""False"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""RestaurantsDelivery"":""False"",""WiFi"":""'free'"",""NoiseLevel"":""u'average'"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""True"",""HasTV"":""True"",""RestaurantsTakeOut"":""True""}","Sandwiches, Food, Gelato, Coffee & Tea, Restaurants","           ","11:0-21:0  ","11:0-21:0  ","11:0-22:0  ","11:0-22:0  ","11:0-22:0  ","11:0-20:0  ","Restaurants"
12,"lqnxbW_tBgxpo7iLPXc60A","Xochi Modern Taqueria & More","36 W Skippack Pike","Ambler","PA","19002",40.1391506,-75.2457702,4.5,69,false,"""RestaurantsReservations"":""True"",""OutdoorSeating"":""True"",""RestaurantsDelivery"":""False"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"",""WiFi"":""u'free'"",""GoodForKids"":""True"",""GoodForMeal"":""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"",""BikeParking"":""True"",""RestaurantsAttire"":""u'casual'"",""WheelchairAccessible"":""True"",""HasTV"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""Caters"":""True"",""RestaurantsTakeOut"":""True"",""NoiseLevel"":""u'quiet'"",""BusinessAcceptsCreditCards"":""True"",""RestaurantsTableService"":""True"",""Alcohol"":""u'none'"",""RestaurantsGoodForGroups"":""True""}","Juice Bars & Smoothies, Empanadas, Food, New Mexican Cuisine, Mexican, Restaurants","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-22:0  ","17:0-22:0  ","17:0-20:0  ","Restaurants"
13,"RkyEwJMQymYAjQ5yXw6q3w","Massa","131 E Butler Ave","Ambler","PA","19002",40.1552083239,-75.2209419726,3.5,56,false,"""GoodForKids"":""False"",""RestaurantsReservations"":""True"",""BusinessAcceptsCreditCards"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""NoiseLevel"":""u'average'"",""OutdoorSeating"":""False"",""RestaurantsDelivery"":""False"",""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""Caters"":""True"",""WiFi"":""u'free'"",""Alcohol"":""u'none'"",""RestaurantsPriceRange2"":""2"",""HasTV"":""False"",""RestaurantsAttire"":""u'casual'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"",""BusinessAcceptsBitcoin"":""False"",""BikeParking"":""True""}","Mediterranean, Pizza, Restaurants","           ","11:30-22:0 ","11:30-22:0 ","11:30-22:0 ","11:30-22:0 ","11:30-22:0 ","15:0-21:0  ","Restaurants"
14,"DE8wVXVQ5JNsRVZcLpOARg","Abyss Coffee","30 S Bethlehem Pike","Ambler","PA","19002",40.1590944427,-75.2148498595,3.5,83,true,"""HasTV"":""False"",""BusinessAcceptsCreditCards"":""True"",""BusinessAcceptsBitcoin"":""False"",""GoodForMeal"":""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"",""RestaurantsAttire"":""'casual'"",""Caters"":""True"",""RestaurantsDelivery"":""False"",""Alcohol"":""u'none'"",""GoodForKids"":""True"",""WheelchairAccessible"":""True"",""RestaurantsPriceRange2"":""1"",""HappyHour"":""False"",""RestaurantsTableService"":""False"",""OutdoorSeating"":""True"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""DogsAllowed"":""False"",""WiFi"":""u'free'"",""RestaurantsReservations"":""False"",""RestaurantsGoodForGroups"":""True"",""RestaurantsTakeOut"":""True"",""BikeParking"":""True"",""DriveThru"":""True"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}""}","Food, Restaurants, Sandwiches, Coffee & Tea, Breakfast & Brunch, Soup, Bakeries","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","6:0-18:0   ","Restaurants"
15,"3A3XWyj7ELQk90ydn8d2gg","Horsham Pub","1144 Horsham Rd","Ambler","PA","19002",40.2120290728,-75.1848096109,3.5,40,false,"""Caters"":""True"",""RestaurantsReservations"":""False"",""RestaurantsGoodForGroups"":""True"",""GoodForKids"":""True"",""HasTV"":""True"",""BusinessAcceptsCreditCards"":""True"",""Alcohol"":""u'full_bar'"",""RestaurantsPriceRange2"":""2"",""Ambience"":""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""BikeParking"":""True"",""RestaurantsAttire"":""u'casual'"",""RestaurantsTakeOut"":""True"",""WiFi"":""'free'"",""RestaurantsDelivery"":""False"",""NoiseLevel"":""u'average'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""OutdoorSeating"":""False"",""HappyHour"":""True""}","American (New), Food, Beer, Wine & Spirits, Bars, Restaurants, Pubs, Nightlife","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","11:0-2:0   ","Restaurants"
16,"tFIbiGdjBYKvywqLVopd4A","Tamarindos Restaurant","36 W Skippack Pike","Ambler","PA","19002",40.1392027,-75.245701,4,79,false,"""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""BusinessAcceptsCreditCards"":""True"",""Alcohol"":""u'none'"",""HasTV"":""False"",""RestaurantsDelivery"":""False"",""RestaurantsAttire"":""'casual'"",""RestaurantsGoodForGroups"":""True"",""RestaurantsPriceRange2"":""2"",""OutdoorSeating"":""False"",""RestaurantsReservations"":""True"",""GoodForKids"":""True"",""RestaurantsTakeOut"":""True"",""BikeParking"":""True"",""Ambience"":""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"",""NoiseLevel"":""u'average'"",""WiFi"":""u'no'"",""Caters"":""True""}","Restaurants, Mexican","           ","17:0-21:30 ","17:0-21:30 ","17:0-21:30 ","17:0-22:30 ","17:0-22:30 ","16:30-21:30","Restaurants"
17,"r8k5KtXqb9yxlMGE0BF6jA","Ristorante Imperatore at Blue Bell","36 W Skippack Pike","Ambler","PA","19002",40.1391452,-75.2457332,4,52,true,"""RestaurantsTakeOut"":""True"",""RestaurantsReservations"":""True"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"",""Ambience"":""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"",""RestaurantsDelivery"":""True""}","Restaurants, Italian, Mediterranean","           ","15:30-21:0 ","15:30-21:0 ","15:30-21:0 ","15:30-22:0 ","15:30-22:0 ","           ","Restaurants"
18,"xUAxWsdyk6GKAAou23wSQg","Thai Aroma","40 W Skippack Pike","Ambler","PA","19002",40.13935,-75.2460681,4,22,false,"""NoiseLevel"":""u'quiet'"",""RestaurantsDelivery"":""True"",""RestaurantsTakeOut"":""True"",""HasTV"":""False"",""RestaurantsReservations"":""True"",""GoodForKids"":""True"",""Alcohol"":""u'none'"",""BusinessParking"":""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsCreditCards"":""True"",""Ambience"":""{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""RestaurantsPriceRange2"":""2"",""RestaurantsGoodForGroups"":""True"",""OutdoorSeating"":""False""}","Thai, Restaurants","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-21:0  ","17:0-22:0  ","17:0-22:0  ","17:0-21:0  ","Restaurants"
19,"fiGh8ctcvIRm4Ii2GOtoHQ","Trax Restaurant and Cafe","27 W Butler Pike","Ambler","PA","19002",40.1535596076,-75.2251111929,3.5,46,false,"""GoodForKids"":""False"",""RestaurantsReservations"":""True"",""RestaurantsPriceRange2"":""3"",""RestaurantsAttire"":""u'casual'"",""BusinessAcceptsCreditCards"":""True"",""HasTV"":""False"",""Alcohol"":""u'none'"",""OutdoorSeating"":""True"",""RestaurantsTakeOut"":""True"",""NoiseLevel"":""u'loud'"",""WiFi"":""u'free'"",""BikeParking"":""True"",""RestaurantsGoodForGroups"":""False"",""BYOBCorkage"":""'yes_free'"",""RestaurantsDelivery"":""False"",""BusinessParking"":""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"",""Ambience"":""{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"",""Caters"":""False""}","Restaurants, American (New), American (Traditional)","           ","16:30-22:0 ","16:30-22:0 ","16:30-22:0 ","16:30-22:0 ","16:30-22:0 ","           ","Restaurants"
